"id"|"deleted"|"created"|"modified"|"law_type"|"bluebook_value"|"matching_values"
12|0|1,613,187,282,040|1,613,187,282,040|Administrative Code|Admin Code|/ADMIN/CODE/
13|0|1,613,187,282,040|1,613,187,282,040|Administrative Code Rule|Admin Code R.|/ADMIN/CODE/R/
14|0|1,613,187,282,040|1,613,187,282,040|Administrative Regulation|Admin Regs.|/ADMIN/REGS/
15|0|1,613,187,282,040|1,613,187,282,040|Administrative Rule|Admin R.|/ADMIN/R/
16|0|1,613,187,282,040|1,613,187,282,040|Articles|Art.|/ART/
17|0|1,613,187,282,040|1,613,187,282,040|Bylaw|Bylaw|/BYLAW/
18|0|1,613,187,282,040|1,613,187,282,040|Century Code|Cent. Code|/CENT/CODE/
19|0|1,613,187,282,040|1,613,187,282,040|Federal Regulations|C.F.R.|/CFR/
20|0|1,613,187,282,040|1,613,187,282,040|Code|Code|/CODE/CODES/
21|0|1,613,187,282,040|1,613,187,282,040|Code of Regulations|Code Regs.|/CODE/REGS/
22|0|1,613,187,282,040|1,613,187,282,040|Code of Rules|Code R.|/CODE/R/
23|0|1,613,187,282,040|1,613,187,282,040|Codified Laws|Codified Laws|/CODIFIED/LAWS/
24|0|1,613,187,282,040|1,613,187,282,040|Official Compilation of Codes, Rules|Comp. Codes R.|/COMP/CODES/R/
25|0|1,613,187,282,040|1,613,187,282,040|Official Compilation of Codes, Rules & Regulations|Comp. Codes R. & Regs.|/COMP/CODES/R/&/REGS/
26|0|1,613,187,282,040|1,613,187,282,040|Compiled Statutes|Comp. Stat.|/COMP/STAT/
27|0|1,613,187,282,040|1,613,187,282,040|Consolidated Statutes|Cons. Stat.|/CONS/STAT/
28|0|1,613,187,282,040|1,613,187,282,040|Federal House Bill|H.R.|/HR/
29|0|1,613,187,282,040|1,613,187,282,040|Federal Senate Bill|S.|/S/
30|0|1,613,187,282,040|1,613,187,282,040|General Laws|Gen. Laws|/GEN/LAWS/
31|0|1,613,187,282,040|1,613,187,282,040|General Statutes|Gen. Stat.|/GEN/STAT/
32|0|1,613,187,282,040|1,613,187,282,040|Laws|Laws|/LAWS/
33|0|1,613,187,282,040|1,613,187,282,040|Notice|Notice|/NOTICE/
34|0|1,613,187,282,040|1,613,187,282,040|Regulations of Agencies|Agencies Regs.|/AGENCIES/REGS/
35|0|1,613,187,282,040|1,613,187,282,040|Regulations|Reg.|/REG/REGS/
36|0|1,613,187,282,040|1,613,187,282,040|Revised Code|Rev. Code|/REV/CODE/
37|0|1,613,187,282,040|1,613,187,282,040|Revised Code Annotated|Rev. Code Ann.|/REV/CODE/ANN/
38|0|1,613,187,282,040|1,613,187,282,040|Revised Statutes|Rev. Stat.|/REV/STAT/
39|0|1,613,187,282,040|1,613,187,282,040|Revised Statutes Annotated|Rev. Stat. Ann.|/REV/STAT/ANN/
40|0|1,613,187,282,040|1,613,187,282,040|Rules|R.|/R/RULES/
41|0|1,613,187,282,040|1,613,187,282,040|Statutes Annotated|Stat. Ann.|/STAT/ANN/
42|0|1,613,187,282,040|1,613,187,282,040|Statutes|Stat.|/STAT/
